Client_ID,Investment_Type,Amount,Returns,Risk_Level
1001,Stock,70.0,43.74727537431902,High
1002,Stock,66.25,38.506782765288285,High
1003,Stock,67.0625,42.656077677472396,High
1004,Stock,66.75,30.13876371494485,High
1005,Stock,70.25,43.62290402583018,High
1006,Stock,69.5,42.21535027432587,High
1007,Stock,69.125,35.91520180973211,High
1008,Stock,72.5,43.15989856032157,High
1009,Stock,69.0625,42.200941679715,High
1010,Stock,68.0,43.20118225499266,High
1011,Stock,68.125,43.46441972237316,High
1012,Stock,68.75,43.344556252979174,High
1013,Stock,68.375,44.51746068604306,High
1014,Stock,67.5,44.517407129660015,High
1015,Stock,65.0,43.82595460466295,High
1016,Stock,64.0,43.397128863529346,High
1017,Stock,63.0625,37.954672070653274,High
1018,Stock,64.6875,37.98476193669042,High
1019,Stock,67.0,42.52312699930141,High
1020,Stock,63.5625,43.11021146865486,High
1021,Stock,62.0,41.66130847586034,High
1022,Stock,63.125,43.38170245323024,High
1023,Stock,64.3125,42.16860053138027,High
1024,Stock,65.1875,42.87363035465343,High
1025,Stock,63.75,44.51738768923843,High
1026,Stock,63.625,40.380418717802144,High
1027,Stock,63.3125,44.374862286217976,High
1028,Stock,62.3125,42.375327167774955,High
1029,Stock,60.5,42.74775150207384,High
1030,Stock,62.25,43.36582063792374,High
1031,Stock,63.9375,41.61045337428455,High
1032,Stock,64.5,43.40579918492138,High
1033,Stock,63.5,41.59083918767743,High
1034,Stock,66.5625,38.40920037389369,High
1035,Stock,67.75,43.986050417415704,High
1036,Stock,64.875,44.23955383134533,High
1037,Stock,64.5,43.2679690713211,High
1038,Stock,65.375,42.60870028319258,High
1039,Stock,65.75,42.753290036280575,High
1040,Stock,66.0,40.784452758594284,High
1041,Stock,66.125,32.26593383098748,High
1042,Stock,69.75,42.34905543966402,High
1043,Stock,69.6875,41.970782469917154,High
1044,Stock,69.25,41.95504224837553,High
1045,Stock,68.0,44.51736425659436,High
1046,Stock,67.1875,44.38310709121502,High
1047,Stock,67.25,44.51741695827661,High
1048,Stock,67.875,43.46066024226944,High
1049,Stock,67.625,43.98509425334409,High
1050,Stock,67.3125,43.84955931848564,High
1051,Stock,67.5,43.58673242466933,High
1052,Stock,67.75,43.853855661098166,High
1053,Stock,68.25,42.04588209860108,High
1054,Stock,67.875,43.987096287609326,High
1055,Stock,67.125,42.92050945294967,High
1056,Stock,66.5,44.51750679061446,High
1057,Stock,64.0,44.37639785654109,High
1058,Stock,63.1875,44.374579505135884,High
1059,Stock,63.3125,39.69092746673238,High
1060,Stock,64.0,40.00553439083147,High
1061,Stock,64.5,43.40579918492138,High
1062,Stock,63.625,42.9725153411887,High
1063,Stock,62.375,43.5108535619387,High
1064,Stock,60.75,44.368872180737405,High
1065,Stock,60.0,44.51740565427069,High
1066,Stock,57.8125,41.01114871255403,High
1067,Stock,56.0,43.87505583954747,High
1068,Stock,55.8125,44.51739335715796,High
1069,Stock,55.1875,39.62118039001473,High
1070,Stock,57.4375,34.68087291197139,High
1071,Stock,60.5625,43.90963008487139,High
1072,Stock,62.0625,41.77948358016091,High
1073,Stock,60.875,39.61956113761043,High
1074,Stock,62.625,43.34826532788072,High
1075,Stock,61.0625,41.313861705263534,High
1076,Stock,60.8125,42.449858136610615,High
1077,Stock,61.625,42.61562706385859,High
1078,Stock,62.625,41.94015050520151,High
1079,Stock,62.8125,42.785837546284654,High
1080,Stock,62.3125,40.40437006758984,High
1081,Stock,62.75,44.206652120524396,High
1082,Stock,61.5,44.060288187487004,High
1083,Stock,59.3125,44.206665215487575,High
